name,gender
Jim Vickers,m
Andrew Wheeler,m
Juliet Taylor,f
Richard Bullock,m
Jim Miller,m
Park Chan-wook,m
Philippe Rousselot,m
Jack Bennett,m
David Middlemas,m
John Roesch,m
Julie Baines,f
Charlotte Bruus Christensen,f
Brad Simpson,m
Tsuyoshi Imai,m
Joann Sfar,m
Harold Parker,m
Rosemary Zurlo,f
David DiGilio,m
Ai-Ling Lee,f
Candy L. Walken,f
Jeff Schaffer,m
Steve Golin,m
Peter Nashel,m
Lisa Beach,f
Richard Wong,m
David Coatsworth,m
Todd Berger,m
Helen Fielding,f
Yaron Levy,m
Peter Sohn,m
Cherise Honey,f
Kimi Webber,f
Walter P. Martishius,m
Julia Castle,f
Matthew O'Callaghan,m
Adam Jenkins,m
Paula Jalfon,f
Sydney Pollack,m
Jane Bartelme,f
Alec Sulkin,m
John Francis Daley,m
J.J. Makaro,m
Alan Greenspan,m
Jack O'Connell,m
Burt Lancaster,m
Elaine Grainger,f
Linda Cohen,f
Richard Vane,m
Geoffrey Unsworth,m
Kerry Barden,m
Jon Davison,m
Benjamín Fernández,m
Carlo Varini,m
Tom Abernathy,m
Adam Herz,m
G.A. Aguilar,m
Ted Kroeber,m
G.A. Aguilar,m
Chris Salamone,m
Renetta G. Amador,f
Mandy Walker,f
LeJon,m
Michael Kaplan,m
Michael De Luca,m
Hilary Swank,f
Bear McCreary,m
Wes Anderson,m
Yorick Le Saux,m
Shaun Grant,m
Barbara Mesney,f
Stefania Velichkova,f
Miroslaw Baszak,m
Dennis Bradford,m
Judd Apatow,m
Paul Dukas,m
Maurice Jarre,m
Allison Hall,f
Mike Richardson,m
Damien Drew,m
Candy L. Walken,f
Andy Nelson,m
Gail Stevens,m
Bill Murphy,m
Barbara McLean,f
Ted Field,m
James Newton Howard,m
Gregg Rudloff,m
Dante Spinotti,m
Ben Morieson,m
Kelly Vandever,f
Anders Thomas Jensen,m
Rosen Stefanov,m
Maria-Teresa Barbasso,f
Charles B. Bloch,m
Chua Lam,m
Lilly Kilvert,f
Ross Klavan,m
Stephanie McMillan,f
Frank Mancuso Jr.,m
Paul Sandberg,m
Andy Hay,m
Jeff Gullo,m
Hou Hsiao-hsien,m
Randi Hiller,f
Christine King,f
Randi Hiller,f
Jennifer Herwitt,f
Drew Kunin,m
Ernest Day,m
Steve Yedlin,m
Johnny Breedt,m
Matthew Thomas Hall,m
Caroline Kaplan,f
Robert Mark Kamen,m
Jennifer L. Smith,f
Fabrice Joubert,m
Perry Eriksen,m
Marty P. Ewing,m
Marc Missonnier,m
Debra Neil-Fisher,f
George Miller,m
Robert Hoffman,m
Elizabeth Coulon,f
Nate Jones,m
J. Roy Helland,m
Jane Bartelme,f
Rusty Smith,m
Jay Scully,m
Julie Meldal-Johnsen,f
Arthur Schmidt,m
Joan Sobel,f
Lucy Ainsworth-Taylor,f
Pete Antico,m
Bradley Raymond,m
David Brenner,m
Patricia McCorkle,f
Rosanna Norton,f
Kristen Caplan,f
Erica Frauman,f
David Kajganich,m
Eli Craig,m
Paul Inglis,m
Daniel Stern,m
Karl Hardman,m
John Carpenter,m
Ricky Gervais,m
James W. Skotchdopole,m
Lin MacDonald,f
Jim Weidman,m
Michael Jackman,m
Julia Heron,f
Jane Jenkins,f
David Goetz,m
Frank E. Jimenez,m
Martin McGrath,m
Tony Pierce-Roberts,m
Michael Coulter,m
Elizabeth McLaughlin,f
Robert Elswit,m
Guy Hamilton,m
Ron Clements,m
Debra McGuire,f
Tom Johnson,m
Adam O'Neill,m
Sue Blane,f
Laura Zigman,f
Christian Wagner,m
Neil Spisak,m
Toby Young,m
John Meier,m
Mario Iscovich,m
Bruno Nuytten,m
Jon Harris,m
Deborah Aquila,f
Peter M. Tobyansen,m
Richard Reitinger,m
Carlo Di Palma,m
Peter Menzies Jr.,m
Angelo Milli,m
Gary Trousdale,m
Paul Verhoeven,m
Jennifer Love Hewitt,f
Albert Cho,m
Bill Boes,m
Stephen Sondheim,m
Jeff Gourson,m
John M. Batiuk,m
Bernard Herrmann,m
Mary Hidalgo,f
Gu Chang-Wei,m
Isao Takahata,m
James G. Robinson,m
Laurie MacDonald,f
Gale Anne Hurd,f
Larry Karaszewski,m
Richard F. Mays,m
Dawn Swiderski,f
Michael Russo,m
Richard S. Wright,m
Branko Lustig,m
Jim Helton,m
John Hughes,m
Cameron Frankley,m
Jennifer Fox,f
Barry Spikings,m
Ernst Lubitsch,m
Monika Petrillo,f
Ruth Prawer Jhabvala,f
Derek Brechin,m
Robert J. Schiffer,m
Sherry Lansing,f
